001--glog--fuzz_demangle--no_seed 29152.80
003--c-blosc2--decompress_chunk_fuzzer 455939758.00 TIMEOUT-1
004--coturn--FuzzStun 45.60
005--cups--FuzzCUPS TIMEOUT-5
006--example--do_stuff_fuzzer 2527.40
007--ffmpeg--ffmpeg_BSF_EVC_FRAME_MERGE_fuzzer--no_seed 85823674.80
008--file--magic_fuzzer_loaddb--no_seed TIMEOUT-4
010--hiredis--format_command_fuzzer--no_seed 9001.00
012--librdkafka--fuzz_regex--no_seed 1697369.60
013--libredwg--llvmfuzz--no_seed 406347.60
014--libyaml--libyaml_dumper_fuzzer 7066358.60
015--llvm--llvm-special-case-list-fuzzer--no_seed 20216460.00 TIMEOUT-4
016--lzo--lzo_decompress_target 305741.80
018--netcdf--fuzz_open--no_seed 33315.80
021--ntpsec--FuzzServer 2596.40
022--open62541--fuzz_mdns_message 35672.00
024--pandas--fuzz_textreader_parser--no_seed 351510.20
028--plan9port--fuzz_libsec--no_seed 55.40
029--pupnp--FuzzIxml 28835.20
030--rdkit--smiles_string_to_mol_fuzzer 547700.60
031--readstat--fuzz_format_sas7bcat 861411.60
032--readstat--fuzz_format_sav 227238687.75 TIMEOUT-1
034--serenity--FuzzILBMLoader--no_seed 24879928.80
035--simd--simd_load_fuzzer--no_seed 166388.20
036--vlc--vlc-demux-dec-libfuzzer--no_seed 364.60
037--vulkan-loader--json_load_fuzzer 66462.20
038--c-blosc2--decompress_chunk_fuzzer 51579549.00 TIMEOUT-2
039--fluent-bit--flb-it-fuzz-cmetrics_decode_fuzz_OSSFUZZ--no_seed 1063.20
040--vulkan-loader--instance_create_fuzzer 25799.40
041--vulkan-loader--instance_enumerate_fuzzer 10207.50
043--augeas--augeas_fa_fuzzer--no_seed 2301.40
045--bloaty--fuzz_target 1511201.00 TIMEOUT-3
047--fluent-bit--flb-it-fuzz-cmetrics_decode_fuzz_OSSFUZZ--no_seed 83585246.00
050--glog--fuzz_demangle--no_seed 17174.80
051--glslang--compile_fuzzer--no_seed 95327.50 TIMEOUT-3
052--gopsutil--FuzzTest--no_seed 1093.20
054--hiredis--format_command_fuzzer--no_seed 5240.20
055--ibmswtpm2--fuzz_tpm_server--no_seed 4717.40
057--keystone--fuzz_asm_evm--no_seed 2.00
058--libbpf--bpf-object-fuzzer 255568.80
059--libical--libical_extended_fuzzer--no_seed 1221125.00
060--libredwg--llvmfuzz--no_seed 335064.25
061--llvm--clang-fuzzer TIMEOUT-5
062--llvm--clang-objc-fuzzer 3045.40
063--mruby--mruby_fuzzer 121273.00
064--ndpi--fuzz_filecfg_protocols 2.00
065--oatpp--fuzz_mapper--no_seed 8357875.20
066--ossf-scorecard--fuzz_parse_from_yaml--no_seed 502270.60
067--p9--p9_fuzzer--no_seed 4933.40
069--pcapplusplus--FuzzTargetNg 216.00
070--perfetto--trace_processor_fuzzer--no_seed TIMEOUT-5
071--php--php-fuzz-execute 561238.00
072--php--php-fuzz-function-jit 413359.20
073--plan9port--fuzz_libsec--no_seed 121.20
074--psqlparse--fuzz_parse--no_seed 325946.20
075--s2opc--sub_fuzzer TIMEOUT-5
076--samba--fuzz_ndr_spoolss_TYPE_OUT 1444.20
077--swift-protobuf--FuzzAsyncMessageSequence_debug--no_seed TIMEOUT-5
078--swift-protobuf--FuzzAsyncMessageSequence_release--no_seed TIMEOUT-5
079--unit--Fuzz_http 30.00
080--upx--list_packed_file_fuzzer 68324.40
081--wabt--read_binary_interp_fuzzer--no_seed 308145.00
082--wabt--read_binary_ir_fuzzer--no_seed 21462773.80
083--gstreamer--gst-discoverer 585912.50 TIMEOUT-1
084--augeas--augeas_api_fuzzer--no_seed 45154.50
085--augeas--augeas_escape_name_fuzzer--no_seed 895308.20
086--c-blosc2--decompress_frame_fuzzer 661269.40
087--cups--FuzzCUPS 6029.40
088--llvm--clang-fuzzer 64.00
090--psqlparse--fuzz_parse--no_seed 233776.40
