Custom                                                                          Default                                                       
Corpus	     Time      	Check 	                 Fuzzer                 	Check 	     Time      	Corpus	Seed  
10306 	----TIMEOUT----	      	          assimp_assimp_fuzzer          	  v   	00:13:48.756403	215   	x     
31172 	00:01:39.047853	  v   	        augeas_augeas_api_fuzzer        	      	00:02:51.482761	929   	x     
91584 	----TIMEOUT----	      	           bloaty_fuzz_target           	      	----TIMEOUT----	1618  	o     
26441 	00:00:13.245481	      	     c-blosc2_compress_chunk_fuzzer     	  v   	00:00:01.566744	11    	x     
17854 	00:00:15.478733	      	     c-blosc2_compress_chunk_fuzzer     	  v   	00:00:01.616789	9     	x     
3592566	----TIMEOUT----	      	    c-blosc2_decompress_chunk_fuzzer    	  v   	00:58:17.169070	1797  	o     
4188898	----TIMEOUT----	      	    c-blosc2_decompress_chunk_fuzzer    	      	----TIMEOUT----	2425  	o     
4035873	----TIMEOUT----	      	    c-blosc2_decompress_chunk_fuzzer    	      	----TIMEOUT----	1760  	o     
24904 	00:01:17.533753	  v   	    c-blosc2_decompress_frame_fuzzer    	      	00:01:20.552884	612   	o     
274323	----TIMEOUT----	      	             cups_FuzzCUPS              	      	----TIMEOUT----	684   	o     
270183	----TIMEOUT----	      	             cups_FuzzCUPS              	      	----TIMEOUT----	667   	o     
0     	00:00:02.770444	      	ffmpeg_ffmpeg_BSF_EVC_FRAME_MERGE_fuzzer	  v   	00:00:02.468729	0     	x     
106556	00:00:58.046896	      	        file_magic_fuzzer_loaddb        	  v   	00:00:15.341089	719   	x     
68263 	00:00:14.295971	      	                frr_bgpd                	  v   	00:00:03.169237	155   	o     
11396 	00:00:08.233271	      	                frr_pimd                	  v   	00:00:01.467137	10    	o     
12891 	00:00:07.580991	      	                frr_pimd                	  v   	00:00:01.516646	31    	o     
255230	----TIMEOUT----	      	               frr_zebra                	  v   	00:00:10.229290	169   	o     
17482 	00:00:08.885628	      	           glog_fuzz_demangle           	  v   	00:00:04.281631	176   	x     
23809 	00:00:41.781097	      	           glog_fuzz_demangle           	  v   	00:00:01.817499	67    	x     
4256  	00:00:09.136923	  v   	           glog_fuzz_demangle           	      	00:00:37.334715	8     	x     
1993  	00:00:04.826037	  v   	           glog_fuzz_demangle           	      	00:00:06.682840	95    	x     
60828 	----TIMEOUT----	      	         glslang_compile_fuzzer         	      	----TIMEOUT----	369   	x     
23302 	----TIMEOUT----	      	         glslang_compile_fuzzer         	      	----TIMEOUT----	1316  	x     
5     	00:00:01.667141	      	           gopsutil_FuzzTest            	  v   	00:00:01.416543	6     	x     
6200  	00:02:26.905928	  v   	        gstreamer_gst-discoverer        	      	00:20:32.650064	872   	o     
702443	00:05:01.328954	      	        haproxy_fuzz_cfg_parser         	  v   	00:01:32.499249	796   	x     
4718  	00:00:03.572101	  v   	     hiredis_format_command_fuzzer      	      	00:00:40.633746	94    	x     
2048  	00:00:03.221782	      	     hiredis_format_command_fuzzer      	  v   	00:00:01.567121	54    	x     
2077  	00:00:02.924177	  v   	     hiredis_format_command_fuzzer      	      	00:00:03.169807	53    	x     
4881  	00:00:03.973315	  v   	     hiredis_format_command_fuzzer      	      	00:00:27.620408	83    	x     
0     	00:00:05.228401	      	         keystone_fuzz_asm_evm          	  v   	00:00:01.767516	0     	x     
296294	00:00:53.680978	      	        libbpf_bpf-object-fuzzer        	  v   	00:00:12.241695	381   	o     
38378 	00:00:07.078948	      	        libbpf_bpf-object-fuzzer        	  v   	00:00:03.419232	225   	o     
